2026-09-24T21:04:12Z INFO Logging to /tmp/logs/update_2026-09-24T21-04-12Z.log.
2026-09-24T21:04:12Z INFO Update qualifying-lfp-content-ids (base directory /tmp).
2026-09-24T21:04:14Z INFO Processing 360 items (56164 already recorded).
2026-09-24T21:04:57Z INFO [31/360] 134db831-b647-4847-bbe3-4687dfa0687b: does not qualify; 0.8 s; peak memory 260 MiB.
2026-09-24T21:05:00Z INFO [32/360] 134e1d66-eeb1-4601-923e-dba0a40b8b7f: does not qualify; 3.5 s; peak memory 260 MiB.
2026-09-24T21:05:01Z INFO [33/360] 134fc9e1-5ec1-46b1-8778-033b0330bde2: does not qualify; 0.5 s; peak memory 260 MiB.
2026-09-24T21:05:32Z INFO [34/360] 134ffa36-b21d-45ba-9193-a3fea7932bac: does not qualify; 31.1 s; peak memory 323 MiB.
2026-09-24T21:05:32Z INFO [35/360] 135081aa-c435-4f03-819d-6ceec138c35f: does not qualify; 0.8 s; peak memory 323 MiB.
2026-09-24T21:05:39Z INFO [36/360] 1350bdbb-8288-497b-b244-fc368c60130b: does not qualify; 6.6 s; peak memory 323 MiB.
2026-09-24T21:05:40Z INFO [37/360] 13518f67-480e-4d51-8058-79c97618d23a: does not qualify; 1.2 s; peak memory 323 MiB.
2026-09-24T21:05:41Z INFO [38/360] 135190e5-0956-44bb-9105-6a8e3a64dd9e: does not qualify; 0.9 s; peak memory 323 MiB.
2026-09-24T21:05:44Z INFO [39/360] 13521e18-20cc-4e3c-97e0-9747eefa4438: does not qualify; 3.1 s; peak memory 323 MiB.
2026-09-24T21:05:48Z INFO [40/360] 13536168-0fc7-4531-b2b2-f338dbb90989: does not qualify; 3.4 s; peak memory 402 MiB.
2026-09-24T21:05:49Z INFO [41/360] 13537a30-43d6-415f-b485-9b550cd3bf0f: does not qualify; 1.0 s; peak memory 402 MiB.
2026-09-24T21:05:50Z INFO [42/360] 13548573-6b53-4d0a-bfa8-28f6dabe10da: does not qualify; 0.9 s; peak memory 402 MiB.
2026-09-24T21:05:53Z INFO [43/360] 1354a6e7-c14a-45f2-9524-e91f887958a5: does not qualify; 3.1 s; peak memory 402 MiB.
2026-09-24T21:05:53Z INFO [44/360] 13552f75-57e8-4eb9-a11b-a64c8e47e71f: does not qualify; 0.8 s; peak memory 402 MiB.
2026-09-24T21:05:54Z INFO [45/360] 13557aa6-67d0-4c0f-b426-d1e691510f2b: does not qualify; 0.7 s; peak memory 402 MiB.
2026-09-24T21:05:59Z INFO [46/360] 13558250-827d-476e-91a0-5e785e4c4a91: does not qualify; 5.0 s; peak memory 402 MiB.
2026-09-24T21:06:00Z INFO [47/360] 13566458-8c3a-412b-a510-e5f0738b30a5: does not qualify; 0.8 s; peak memory 402 MiB.
2026-09-24T21:06:01Z INFO [48/360] 1357a3b1-ad3f-424d-ba68-1fbc41ab731e: does not qualify; 0.7 s; peak memory 402 MiB.
2026-09-24T21:06:04Z INFO [49/360] 13580b84-482a-4dd7-aae9-39e351cc5da6: does not qualify; 3.2 s; peak memory 402 MiB.
2026-09-24T21:06:05Z INFO [50/360] 13592204-e51a-4574-b4e2-ca5eb6b1f04e: does not qualify; 0.6 s; peak memory 402 MiB.
2026-09-24T21:06:05Z INFO [50/360] 13592204-e51a-4574-b4e2-ca5eb6b1f04e: checkpointed 56214 records.
2026-09-24T21:06:05Z INFO [51/360] 13597728-96b8-4162-adc6-cb4d96757c48: does not qualify; 0.8 s; peak memory 402 MiB.
2026-09-24T21:06:06Z INFO [52/360] 1359dbba-3c27-4a16-be24-dd268740c3aa: does not qualify; 1.0 s; peak memory 402 MiB.
2026-09-24T21:06:07Z INFO [53/360] 135a25e1-c660-4de9-8b50-d00534c17b22: does not qualify; 0.8 s; peak memory 402 MiB.
2026-09-24T21:06:11Z INFO [54/360] 135ac248-8271-48dc-a17d-da3f91fb5a4e: does not qualify; 3.6 s; peak memory 402 MiB.
2026-09-24T21:06:14Z INFO [55/360] 135b31cf-78a0-4252-8650-47d1a758246b: does not qualify; 3.2 s; peak memory 402 MiB.
2026-09-24T21:06:15Z INFO [56/360] 135b433a-072f-4cfc-8f8e-926140066453: does not qualify; 0.6 s; peak memory 402 MiB.
2026-09-24T21:06:15Z INFO [57/360] 135d873f-bd14-488e-ad6c-5e767947df6c: does not qualify; 0.4 s; peak memory 402 MiB.
2026-09-24T21:06:16Z INFO [58/360] 135e8a53-9053-47ec-b879-88e98b5af2db: does not qualify; 0.6 s; peak memory 402 MiB.
2026-09-24T21:06:17Z INFO [59/360] 135ea621-5f44-4b42-8e73-521081d01843: does not qualify; 1.2 s; peak memory 402 MiB.
2026-09-24T21:06:18Z INFO [60/360] 135f7bf0-4b9f-45de-874a-172056846045: does not qualify; 0.7 s; peak memory 402 MiB.
2026-09-24T21:06:18Z INFO [61/360] 135f9756-c6bb-47d7-bc90-b09781dea543: does not qualify; 0.7 s; peak memory 402 MiB.
2026-09-24T21:06:19Z INFO [62/360] 135fb9c6-093c-4427-9cd3-41bb12bc2dec: does not qualify; 0.7 s; peak memory 402 MiB.
2026-09-24T21:06:20Z INFO [63/360] 13612bf9-fbb3-4032-8b20-b97d98e78c69: does not qualify; 0.8 s; peak memory 402 MiB.
2026-09-24T21:06:21Z INFO [64/360] 13616f02-4361-478e-86d5-b56dd1b8b2b9: does not qualify; 0.8 s; peak memory 402 MiB.
2026-09-24T21:06:22Z INFO [65/360] 13617848-c39b-420b-844b-5b01f89f276c: does not qualify; 1.6 s; peak memory 402 MiB.
2026-09-24T21:07:08Z INFO [66/360] 136244be-d3d2-4b5a-aa86-28b4e1c05c4d: does not qualify; 45.5 s; peak memory 402 MiB.
2026-09-24T21:07:09Z INFO [67/360] 13626ca0-4141-4b86-b4b3-83e24fadc75e: does not qualify; 0.8 s; peak memory 402 MiB.
2026-09-24T21:07:09Z INFO [68/360] 1362946e-9065-4064-ae94-bb061cfb848d: does not qualify; 0.5 s; peak memory 402 MiB.
2026-09-24T21:07:10Z INFO [69/360] 13634d0c-86a6-47f0-8fbd-33590f38afdc: does not qualify; 0.9 s; peak memory 402 MiB.
2026-09-24T21:07:11Z INFO [70/360] 13646c31-dd74-4767-b67b-d5d92d236eea: does not qualify; 0.7 s; peak memory 402 MiB.
2026-09-24T21:07:11Z INFO [71/360] 1364a858-40d0-428d-827d-449e117692c9: does not qualify; 0.7 s; peak memory 402 MiB.
2026-09-24T21:07:13Z INFO [72/360] 1364e21e-bb47-405b-a1a1-e7f376ff9001: does not qualify; 1.8 s; peak memory 402 MiB.
2026-09-24T21:07:14Z INFO [73/360] 1364fcf5-c8ad-4720-a4f8-ec942f57c236: does not qualify; 1.2 s; peak memory 402 MiB.
2026-09-24T21:07:15Z INFO [74/360] 1365cad7-90fd-4143-bf0b-5d787e532604: does not qualify; 0.5 s; peak memory 402 MiB.
2026-09-24T21:07:23Z INFO [75/360] 1365d89e-ab13-4abc-a787-e4781aa7de7e: does not qualify; 8.3 s; peak memory 402 MiB.
2026-09-24T21:07:26Z INFO [76/360] 1365ddf9-b66d-4b9e-874f-971127c08d77: does not qualify; 2.6 s; peak memory 402 MiB.
2026-09-24T21:07:27Z INFO [77/360] 1367ce85-c6b0-46bb-99c1-908881151440: does not qualify; 0.8 s; peak memory 402 MiB.
2026-09-24T21:07:27Z INFO [78/360] 136843bd-7f18-49ab-9c96-05e435a3f838: does not qualify; 0.5 s; peak memory 402 MiB.
2026-09-24T21:07:28Z INFO [79/360] 13685c7f-a790-4ca5-b792-a60bd5b24c53: does not qualify; 0.8 s; peak memory 402 MiB.
2026-09-24T21:07:29Z INFO [80/360] 1369e729-d2de-4b9b-8e24-30fd6def7656: does not qualify; 0.6 s; peak memory 402 MiB.
2026-09-24T21:07:49Z INFO [81/360] 136acd98-ca4b-4021-aeec-ddf8d8024de9: does not qualify; 20.7 s; peak memory 402 MiB.
2026-09-24T21:07:51Z INFO [82/360] 136ad2bb-8f55-41fc-942f-8672d0b99824: does not qualify; 1.6 s; peak memory 402 MiB.
2026-09-24T21:07:53Z INFO [83/360] 136ae4aa-8bf5-4e21-a8d0-582b1d9043c3: does not qualify; 1.6 s; peak memory 402 MiB.
2026-09-24T21:07:53Z INFO [84/360] 136b087e-ac58-473d-8f77-a5b8a45a0e81: does not qualify; 0.8 s; peak memory 402 MiB.
2026-09-24T21:07:54Z INFO [85/360] 136ba91b-3833-46d4-8010-d517b14d12bf: does not qualify; 0.8 s; peak memory 402 MiB.
2026-09-24T21:07:55Z INFO [86/360] 136c04dd-2924-49eb-b048-9e2c1d9c75c7: does not qualify; 0.7 s; peak memory 402 MiB.
2026-09-24T21:07:55Z INFO [87/360] 136c5383-c88f-4fe7-8b76-73df824bbc96: does not qualify; 0.4 s; peak memory 402 MiB.
2026-09-24T21:07:56Z INFO [88/360] 136c90af-bc56-4e0f-ac28-f839862a63e9: does not qualify; 0.6 s; peak memory 402 MiB.
2026-09-24T21:07:57Z INFO [89/360] 136c9f39-54f8-43c3-80a6-8816dfd5edcd: does not qualify; 0.8 s; peak memory 402 MiB.
2026-09-24T21:08:02Z INFO [90/360] 136d4bc0-18da-4926-a055-d52d3001a8db: does not qualify; 4.8 s; peak memory 402 MiB.
2026-09-24T21:08:03Z INFO [91/360] 136d57ef-1f23-4e69-8c55-e5efb7d5c81b: does not qualify; 1.1 s; peak memory 402 MiB.
2026-09-24T21:08:03Z INFO [92/360] 136d95e2-9b84-4d05-94c6-5aec6de75020: does not qualify; 0.5 s; peak memory 402 MiB.
2026-09-24T21:08:04Z INFO [93/360] 136e884d-825d-4541-83d2-88bebbabf671: does not qualify; 1.1 s; peak memory 402 MiB.
