2026-09-24T16:22:13Z INFO Logging to /tmp/logs/update_2026-09-24T16-22-13Z.log.
2026-09-24T16:22:13Z INFO Update qualifying-lfp-content-ids (base directory /tmp).
2026-09-24T16:22:15Z INFO Processing 371 items (55793 already recorded).
2026-09-24T16:24:57Z INFO [74/371] 12a0186b-397e-405f-9b80-62d99da2a44b: does not qualify; 1.5 s; peak memory 459 MiB.
2026-09-24T16:24:57Z INFO [75/371] 12a132be-1857-4ce2-8cc0-e62b9f6e2b81: does not qualify; 0.8 s; peak memory 459 MiB.
2026-09-24T16:24:58Z INFO [76/371] 12a16410-dec2-4ff2-8797-3237eb565a87: does not qualify; 1.0 s; peak memory 459 MiB.
2026-09-24T16:25:00Z INFO [77/371] 12a1dadf-6c40-47e7-b944-64f33fa6537d: does not qualify; 1.7 s; peak memory 459 MiB.
2026-09-24T16:25:06Z INFO [78/371] 12a36cde-665f-4088-9acd-23efeeba5f8f: does not qualify; 5.5 s; peak memory 459 MiB.
2026-09-24T16:25:07Z INFO [79/371] 12a4e53a-a249-4319-9c32-dca8010104a3: does not qualify; 1.1 s; peak memory 459 MiB.
2026-09-24T16:25:08Z INFO [80/371] 12a59932-8949-4623-9420-22721d97941e: does not qualify; 1.1 s; peak memory 459 MiB.
2026-09-24T16:25:09Z INFO [81/371] 12a64174-df72-4036-858e-088c4c0e1e0e: does not qualify; 1.1 s; peak memory 459 MiB.
2026-09-24T16:25:10Z INFO [82/371] 12a691e5-e1d4-40c7-bc6b-3c29e774953c: does not qualify; 1.6 s; peak memory 459 MiB.
2026-09-24T16:25:11Z INFO [83/371] 12a8b32c-126b-41a9-b342-1a6378f70fc3: does not qualify; 1.0 s; peak memory 459 MiB.
2026-09-24T16:25:12Z INFO [84/371] 12aa0956-d97b-4891-8db6-77efca1f318a: does not qualify; 1.1 s; peak memory 459 MiB.
2026-09-24T16:25:18Z INFO [85/371] 12abc2fe-e3df-443c-9e08-a4e3039fabdb: does not qualify; 5.2 s; peak memory 459 MiB.
2026-09-24T16:25:18Z INFO [86/371] 12ac7108-6393-4184-aeb4-d7765865d001: does not qualify; 0.7 s; peak memory 459 MiB.
2026-09-24T16:25:20Z INFO [87/371] 12acf638-e12c-4aef-97b7-4ff3d550157e: does not qualify; 1.3 s; peak memory 459 MiB.
2026-09-24T16:25:27Z INFO [88/371] 12ae8857-7225-4a8e-b8f7-e86e02e2739c: does not qualify; 7.6 s; peak memory 459 MiB.
2026-09-24T16:25:28Z INFO [89/371] 12aed46e-2823-49ae-80e2-7e4adf81d936: does not qualify; 0.7 s; peak memory 459 MiB.
2026-09-24T16:25:29Z INFO [90/371] 12af8d74-7815-4d42-a3e5-b40e6eb83a59: does not qualify; 1.1 s; peak memory 459 MiB.
2026-09-24T16:25:31Z INFO [91/371] 12afca9c-4bac-4ec4-a569-0615691b39b9: does not qualify; 2.3 s; peak memory 459 MiB.
2026-09-24T16:25:32Z INFO [92/371] 12afe951-e765-429d-82f9-66c297b51aa7: does not qualify; 1.1 s; peak memory 459 MiB.
2026-09-24T16:25:39Z INFO [93/371] 12b00315-e14e-4857-8887-e9c0510ac721: does not qualify; 6.5 s; peak memory 570 MiB.
2026-09-24T16:25:40Z INFO [94/371] 12b00d97-6abd-42a6-a7e9-d7f7fd56aaaa: does not qualify; 1.1 s; peak memory 570 MiB.
2026-09-24T16:25:41Z INFO [95/371] 12b04bdb-c339-438b-9c2d-94afa2c7f8da: does not qualify; 1.4 s; peak memory 570 MiB.
2026-09-24T16:25:43Z INFO [96/371] 12b19540-2df1-4a10-a131-90db4f3a03d4: does not qualify; 1.2 s; peak memory 570 MiB.
2026-09-24T16:25:44Z INFO [97/371] 12b1d616-4d7c-4709-9b89-f9fa6f1f266a: does not qualify; 1.5 s; peak memory 570 MiB.
2026-09-24T16:25:50Z INFO [98/371] 12b1dc16-4a01-4404-a412-21dfaaebc717: does not qualify; 6.0 s; peak memory 570 MiB.
2026-09-24T16:25:51Z INFO [99/371] 12b258f5-df3a-4550-a93a-574ddb125bb6: does not qualify; 1.1 s; peak memory 570 MiB.
2026-09-24T16:25:52Z INFO [100/371] 12b2de3b-865c-49f9-a1fd-9c89bfc090fa: does not qualify; 0.9 s; peak memory 570 MiB.
2026-09-24T16:25:52Z INFO [100/371] 12b2de3b-865c-49f9-a1fd-9c89bfc090fa: checkpointed 55893 records.
2026-09-24T16:25:55Z INFO [101/371] 12b36384-ec7c-4dee-9ad6-d31c191f2731: does not qualify; 2.6 s; peak memory 570 MiB.
2026-09-24T16:25:56Z INFO [102/371] 12b43d4b-166a-476a-91ac-24631be55d54: does not qualify; 1.1 s; peak memory 570 MiB.
2026-09-24T16:25:57Z INFO [103/371] 12b45946-5a82-40d1-9cdb-af789b7ff6fc: does not qualify; 1.3 s; peak memory 570 MiB.
2026-09-24T16:25:58Z INFO [104/371] 12b47ea2-3ff2-4068-a5ca-cb48868de0a6: does not qualify; 1.2 s; peak memory 570 MiB.
2026-09-24T16:25:59Z INFO [105/371] 12b48acc-3eb6-4aa3-8a5c-b9f6c1dcc20d: does not qualify; 0.9 s; peak memory 570 MiB.
2026-09-24T16:26:00Z INFO [106/371] 12b4aa27-b1ec-4a1e-bb26-9c21a335cbda: does not qualify; 1.1 s; peak memory 570 MiB.
2026-09-24T16:26:04Z INFO [107/371] 12b4daf8-657c-4466-9a27-e20edffae922: does not qualify; 4.1 s; peak memory 570 MiB.
2026-09-24T16:26:05Z INFO [108/371] 12b5bd8a-9a3a-4eba-8d6b-65c79476e861: does not qualify; 0.9 s; peak memory 570 MiB.
2026-09-24T16:26:06Z INFO [109/371] 12b60cf6-afd0-4ea2-82b2-9befae694db5: does not qualify; 1.1 s; peak memory 570 MiB.
2026-09-24T16:26:07Z INFO [110/371] 12b7b6a8-bf6f-4214-a963-36ee0a0ffbff: does not qualify; 0.7 s; peak memory 570 MiB.
2026-09-24T16:26:08Z INFO [111/371] 12b7c6be-ba8f-46b0-99ca-0278da077aa7: does not qualify; 0.8 s; peak memory 570 MiB.
2026-09-24T16:26:09Z INFO [112/371] 12b8092f-8a71-4bf3-bd81-1bbc726f4d4b: does not qualify; 0.9 s; peak memory 570 MiB.
2026-09-24T16:26:14Z INFO [113/371] 12bb0a4f-ff89-41f8-92e9-f8e6f4e94f5d: does not qualify; 5.2 s; peak memory 570 MiB.
2026-09-24T16:26:15Z INFO [114/371] 12bba5f5-88d4-495b-ba8a-57377aeb3248: does not qualify; 0.8 s; peak memory 570 MiB.
2026-09-24T16:26:16Z INFO [115/371] 12bcd538-749b-4072-9939-36a662dfa9b1: does not qualify; 1.0 s; peak memory 570 MiB.
2026-09-24T16:26:33Z INFO [116/371] 12bd530e-25f3-4b90-9a05-b5265c9bcfea: does not qualify; 17.0 s; peak memory 570 MiB.
2026-09-24T16:26:33Z INFO [117/371] 12bd64f3-79a9-49a4-b3b4-35d3e28e6186: does not qualify; 0.9 s; peak memory 570 MiB.
2026-09-24T16:26:55Z INFO [118/371] 12bdb5b8-70a0-4261-87d1-e087ac489c87: does not qualify; 21.2 s; peak memory 570 MiB.
2026-09-24T16:26:56Z INFO [119/371] 12bdc79f-153c-48ea-b652-12c6bade2cd0: does not qualify; 1.4 s; peak memory 570 MiB.
2026-09-24T16:26:59Z INFO [120/371] 12bdee17-a9ac-4d4a-afca-14ee65427348: does not qualify; 2.9 s; peak memory 570 MiB.
2026-09-24T16:27:00Z INFO [121/371] 12bdf99a-29e1-4f9a-8b7e-c76adfef42a5: does not qualify; 0.8 s; peak memory 570 MiB.
2026-09-24T16:27:01Z INFO [122/371] 12be4017-fe3a-4ff7-9a36-03fb09c76774: does not qualify; 0.9 s; peak memory 570 MiB.
2026-09-24T16:27:02Z INFO [123/371] 12be616e-1b83-4388-8283-736bbaff00b1: does not qualify; 1.1 s; peak memory 570 MiB.
2026-09-24T16:27:08Z INFO [124/371] 12bf7739-7e21-40ba-8df1-03cf2a90ffc0: does not qualify; 6.6 s; peak memory 570 MiB.
2026-09-24T16:27:09Z INFO [125/371] 12c1875d-23c5-4f55-90d4-bd3dbb3357e3: does not qualify; 0.9 s; peak memory 570 MiB.
2026-09-24T16:27:11Z INFO [126/371] 12c1a2e7-ae3a-45f1-988b-e20dcf712ba9: does not qualify; 1.9 s; peak memory 570 MiB.
2026-09-24T16:27:12Z INFO [127/371] 12c1ef84-b79c-4f26-bd43-a4120dcd50c9: does not qualify; 0.9 s; peak memory 570 MiB.
2026-09-24T16:27:14Z INFO [128/371] 12c48191-926e-4e83-a70c-ba319c3e0ed1: does not qualify; 1.5 s; peak memory 570 MiB.
2026-09-24T16:27:15Z INFO [129/371] 12c4932f-32d9-4f87-b9b3-ee8f59828554: does not qualify; 1.1 s; peak memory 570 MiB.
2026-09-24T16:27:16Z INFO [130/371] 12c516b2-8fe3-4f31-8973-dd0032645137: does not qualify; 1.0 s; peak memory 570 MiB.
2026-09-24T16:27:17Z INFO [131/371] 12c551f8-d824-433c-97c8-5fb86cef2584: does not qualify; 1.1 s; peak memory 570 MiB.
2026-09-24T16:27:18Z INFO [132/371] 12c57e7b-9832-4f5a-b45a-f399ec28b1e4: does not qualify; 1.1 s; peak memory 570 MiB.
2026-09-24T16:27:18Z INFO [133/371] 12c5e3da-c0a9-4288-b1ea-0d36af4f0171: does not qualify; 0.6 s; peak memory 570 MiB.
2026-09-24T16:27:20Z INFO [134/371] 12c6d455-18d3-41d9-b16b-c4bebaba874d: does not qualify; 1.1 s; peak memory 570 MiB.
2026-09-24T16:27:21Z INFO [135/371] 12c6d862-080c-420a-af1f-66aad06293fc: does not qualify; 1.0 s; peak memory 570 MiB.
2026-09-24T16:27:21Z INFO [136/371] 12c70ee6-f562-4093-9ba8-63cfd1859179: does not qualify; 0.9 s; peak memory 570 MiB.
2026-09-24T16:27:23Z INFO [137/371] 12c806dd-bbe0-4733-acd9-0cdd3719df2f: does not qualify; 1.3 s; peak memory 570 MiB.
2026-09-24T16:27:23Z INFO [138/371] 12c87de7-bc37-4e50-bd5d-1013835678fa: does not qualify; 0.6 s; peak memory 570 MiB.
