2026-09-23T02:58:14Z INFO Logging to /tmp/logs/update_2026-09-23T02-58-14Z.log.
2026-09-23T02:58:14Z INFO Update qualifying-lfp-content-ids (base directory /tmp).
2026-09-23T02:58:16Z INFO Processing 351 items (54321 already recorded).
2026-09-23T03:00:40Z INFO [50/351] 0f9a7f32-a826-4b1a-8b8b-bbc24f5d7510: does not qualify; 1.7 s; peak memory 639 MiB.
2026-09-23T03:00:40Z INFO [50/351] 0f9a7f32-a826-4b1a-8b8b-bbc24f5d7510: checkpointed 54371 records.
2026-09-23T03:00:44Z INFO [51/351] 0f9ad7d5-fd93-4860-9527-8a360beb782b: does not qualify; 3.9 s; peak memory 639 MiB.
2026-09-23T03:00:46Z INFO [52/351] 0f9bc6b8-e1e7-47bd-8ad4-eb0989a73bb9: does not qualify; 2.0 s; peak memory 639 MiB.
2026-09-23T03:00:48Z INFO [53/351] 0f9c6a6c-667f-4cf5-ae2b-4e482177ccdf: does not qualify; 1.9 s; peak memory 639 MiB.
2026-09-23T03:00:58Z INFO [54/351] 0f9cce5f-8abd-456d-8faf-6f6e88d9857b: does not qualify; 10.4 s; peak memory 639 MiB.
2026-09-23T03:01:00Z INFO [55/351] 0f9d62fa-e367-416b-932e-375cf2cf9f89: does not qualify; 2.2 s; peak memory 639 MiB.
2026-09-23T03:01:02Z INFO [56/351] 0f9dab8b-4332-4583-8c68-e2fd995defb9: does not qualify; 1.9 s; peak memory 639 MiB.
2026-09-23T03:01:09Z INFO [57/351] 0f9e709c-ed25-4c8e-8484-6dee38023d6c: does not qualify; 6.9 s; peak memory 639 MiB.
2026-09-23T03:01:13Z INFO [58/351] 0f9ec06f-b250-4296-b6ef-79658ff7b80b: does not qualify; 3.8 s; peak memory 639 MiB.
2026-09-23T03:01:16Z INFO [59/351] 0fa03e15-484a-48a7-9ad5-c93549c09dea: qualifies; 2.9 s; peak memory 639 MiB.
2026-09-23T03:01:18Z INFO [60/351] 0fa07eba-d43e-4780-84db-157b88390911: does not qualify; 2.1 s; peak memory 639 MiB.
2026-09-23T03:01:20Z INFO [61/351] 0fa0b589-791c-4961-b8e6-cb9d9f2438ee: does not qualify; 1.7 s; peak memory 639 MiB.
2026-09-23T03:01:21Z INFO [62/351] 0fa1950a-38a8-4ba2-896a-6ab865839219: does not qualify; 2.0 s; peak memory 639 MiB.
2026-09-23T03:01:24Z INFO [63/351] 0fa19be9-74f5-4b56-8dd5-d2391d1ebea7: does not qualify; 2.4 s; peak memory 639 MiB.
2026-09-23T03:01:30Z INFO [64/351] 0fa1a4ce-aa0c-44ea-884c-f0f0daafc419: does not qualify; 6.2 s; peak memory 639 MiB.
2026-09-23T03:01:32Z INFO [65/351] 0fa2065a-6660-4812-8f06-ca8815165bfa: does not qualify; 2.1 s; peak memory 639 MiB.
2026-09-23T03:01:35Z INFO [66/351] 0fa24deb-e9e1-4463-817c-12ee3960d43f: does not qualify; 3.2 s; peak memory 639 MiB.
2026-09-23T03:01:37Z INFO [67/351] 0fa257d2-e9fb-4109-85c8-d62f8cf799e1: does not qualify; 1.8 s; peak memory 639 MiB.
2026-09-23T03:01:41Z INFO [68/351] 0fa45f13-de5b-485d-a6ae-5207dfbb3f03: does not qualify; 4.3 s; peak memory 639 MiB.
2026-09-23T03:01:50Z INFO [69/351] 0fa46087-81eb-4e3c-b600-ff4472cf7efd: does not qualify; 8.5 s; peak memory 639 MiB.
2026-09-23T03:01:52Z INFO [70/351] 0fa47a88-c2b0-43ea-b2f5-d156584bbb02: does not qualify; 1.6 s; peak memory 639 MiB.
2026-09-23T03:01:53Z INFO [71/351] 0fa54dd0-6d0c-4ae1-aaa5-b0d673e29597: does not qualify; 1.3 s; peak memory 639 MiB.
2026-09-23T03:01:55Z INFO [72/351] 0fa66600-c2d7-4f9c-88cf-9ceed2caf38d: does not qualify; 1.8 s; peak memory 639 MiB.
2026-09-23T03:01:56Z INFO [73/351] 0fa67862-db06-40ab-badd-4b7a5cbc0d6b: does not qualify; 1.5 s; peak memory 639 MiB.
2026-09-23T03:01:58Z INFO [74/351] 0fa726ae-96a6-4f2d-a63d-52df5b879775: does not qualify; 1.7 s; peak memory 639 MiB.
2026-09-23T03:02:04Z INFO [75/351] 0fa78975-86d2-43bc-aca6-bf606948e589: does not qualify; 6.4 s; peak memory 639 MiB.
2026-09-23T03:02:06Z INFO [76/351] 0fa7ff40-f900-44df-98f7-60f8ba3810d6: does not qualify; 1.5 s; peak memory 639 MiB.
2026-09-23T03:02:13Z INFO [77/351] 0fa8a5bc-1325-462f-963a-e0c5692cb136: does not qualify; 7.2 s; peak memory 639 MiB.
2026-09-23T03:02:15Z INFO [78/351] 0fa90612-a94f-4b7c-b577-92896cae81f9: does not qualify; 2.2 s; peak memory 639 MiB.
2026-09-23T03:02:17Z INFO [79/351] 0fa921b3-0078-45ba-9ee9-71e4f22bfbd6: does not qualify; 1.5 s; peak memory 639 MiB.
2026-09-23T03:02:19Z INFO [80/351] 0fa9d965-92c6-4eaf-a2fc-5f6e644c41ed: does not qualify; 1.9 s; peak memory 639 MiB.
2026-09-23T03:02:20Z INFO [81/351] 0faaa046-e898-40b9-84de-309e5aa1afd0: does not qualify; 1.7 s; peak memory 639 MiB.
2026-09-23T03:02:22Z INFO [82/351] 0fab1b81-444d-4b59-a6d0-9c788d14d823: does not qualify; 2.0 s; peak memory 639 MiB.
2026-09-23T03:02:24Z INFO [83/351] 0fab220c-8966-415c-b634-780d66b79a5e: does not qualify; 1.9 s; peak memory 639 MiB.
2026-09-23T03:02:26Z INFO [84/351] 0fab6e98-a064-4f9c-8326-4a1cf3e8bd91: does not qualify; 1.8 s; peak memory 639 MiB.
2026-09-23T03:02:28Z INFO [85/351] 0fac198a-ce75-4d4d-91a9-3251097658ff: does not qualify; 1.5 s; peak memory 639 MiB.
2026-09-23T03:02:30Z INFO [86/351] 0fac2b5e-7cf7-4ca2-a3a5-0520a880ace5: does not qualify; 2.0 s; peak memory 639 MiB.
2026-09-23T03:02:31Z INFO [87/351] 0fac5c1a-9028-4788-86be-c68fe6561a7c: does not qualify; 1.9 s; peak memory 639 MiB.
2026-09-23T03:02:33Z INFO [88/351] 0fad5454-513d-4e8c-8c24-00a01d5fe400: does not qualify; 1.8 s; peak memory 639 MiB.
2026-09-23T03:02:35Z INFO [89/351] 0fadab91-ebda-434e-bb0d-4047b0f3eb6b: does not qualify; 2.1 s; peak memory 639 MiB.
2026-09-23T03:02:38Z INFO [90/351] 0fadc820-7644-4ab6-9a76-c65f04f4fd7e: does not qualify; 2.2 s; peak memory 639 MiB.
2026-09-23T03:02:51Z INFO [91/351] 0fadeb4d-9d13-4b9d-83de-b7b706787749: does not qualify; 13.4 s; peak memory 639 MiB.
2026-09-23T03:02:52Z INFO [92/351] 0fadfde6-1c91-4943-b5b2-d633fecd81e4: does not qualify; 1.4 s; peak memory 639 MiB.
2026-09-23T03:02:58Z INFO [93/351] 0fae52fd-14c2-4c99-83bb-c94087ba46a4: does not qualify; 5.2 s; peak memory 639 MiB.
2026-09-23T03:03:00Z INFO [94/351] 0fafa9b6-484e-4fb4-8b05-c6517203b0b0: does not qualify; 1.9 s; peak memory 639 MiB.
2026-09-23T03:03:05Z INFO [95/351] 0faffb9f-5ccf-4f73-9ec4-7641632852ae: does not qualify; 5.9 s; peak memory 639 MiB.
2026-09-23T03:03:07Z INFO [96/351] 0fb10060-3277-4a55-a906-6696d49045ca: does not qualify; 2.0 s; peak memory 639 MiB.
2026-09-23T03:03:09Z INFO [97/351] 0fb12601-f6c5-4b9a-afa1-d151788bb310: does not qualify; 2.0 s; peak memory 639 MiB.
2026-09-23T03:03:11Z INFO [98/351] 0fb1533a-7559-4521-80b5-a2e381e2541b: does not qualify; 2.1 s; peak memory 639 MiB.
2026-09-23T03:03:13Z INFO [99/351] 0fb2013f-a638-4ce8-851b-f14738089d2b: does not qualify; 1.4 s; peak memory 639 MiB.
2026-09-23T03:03:14Z INFO [100/351] 0fb2660e-d1bf-4944-bbdc-66c4c939a5a4: does not qualify; 1.1 s; peak memory 639 MiB.
2026-09-23T03:03:14Z INFO [100/351] 0fb2660e-d1bf-4944-bbdc-66c4c939a5a4: checkpointed 54421 records.
2026-09-23T03:03:16Z INFO [101/351] 0fb377c7-4a5b-4951-84dc-0c1f36c1a008: does not qualify; 1.5 s; peak memory 639 MiB.
2026-09-23T03:03:17Z INFO [102/351] 0fb42d69-b36d-4943-aeb7-4463c65af895: does not qualify; 1.5 s; peak memory 639 MiB.
2026-09-23T03:03:18Z INFO [103/351] 0fb4a29c-079c-4c1c-9eae-f24be369a99e: does not qualify; 1.1 s; peak memory 639 MiB.
2026-09-23T03:03:22Z INFO [104/351] 0fb5908b-a0b0-4223-ae15-992db4b5e2bc: does not qualify; 3.9 s; peak memory 639 MiB.
2026-09-23T03:03:23Z INFO [105/351] 0fb5d015-dad2-4bb0-87c0-878dc08ab1a7: does not qualify; 1.3 s; peak memory 639 MiB.
2026-09-23T03:03:25Z INFO [106/351] 0fb5dac8-6a91-4752-9879-14ea4e01cc4a: does not qualify; 1.6 s; peak memory 639 MiB.
2026-09-23T03:03:26Z INFO [107/351] 0fb6afea-c6f9-47f3-aa1f-56e3bb065997: does not qualify; 1.2 s; peak memory 639 MiB.
2026-09-23T03:03:28Z INFO [108/351] 0fb78b87-06c2-48a2-ae1f-576b6a8e223d: does not qualify; 1.7 s; peak memory 639 MiB.
2026-09-23T03:03:29Z INFO [109/351] 0fb81519-b47f-4c74-bec7-16b789e1e886: does not qualify; 1.5 s; peak memory 639 MiB.
2026-09-23T03:03:31Z INFO [110/351] 0fb8923b-2294-4dec-ba63-baa9cb44ccf0: does not qualify; 1.5 s; peak memory 639 MiB.
2026-09-23T03:03:32Z INFO [111/351] 0fb8959f-76f3-4f53-a77a-d9f4cd688755: does not qualify; 1.6 s; peak memory 639 MiB.
2026-09-23T03:05:21Z INFO [112/351] 0fba2aba-e9cb-4023-9014-7da3b0cf788e: qualifies; 108.7 s; peak memory 639 MiB.
2026-09-23T03:05:23Z INFO [113/351] 0fba49b8-d6c2-4f6e-a7af-bf4d8fbe2ea2: does not qualify; 1.9 s; peak memory 639 MiB.
2026-09-23T03:05:25Z INFO [114/351] 0fba82b4-0651-44a9-8caa-ab5c90823119: does not qualify; 2.0 s; peak memory 639 MiB.
2026-09-23T03:05:26Z INFO [115/351] 0fbc6fc1-f953-4d8c-baf1-0a8244033ada: does not qualify; 1.1 s; peak memory 639 MiB.
2026-09-23T03:05:28Z INFO [116/351] 0fbc864c-d713-4de6-86e6-985a1addc2fe: does not qualify; 1.6 s; peak memory 639 MiB.
2026-09-23T03:05:30Z INFO [117/351] 0fbca6e7-db4f-4192-8838-11d582be1fd2: does not qualify; 1.9 s; peak memory 639 MiB.
2026-09-23T03:05:38Z INFO [118/351] 0fbe74a2-24f9-4e60-b10e-382c2379a6b4: does not qualify; 8.1 s; peak memory 639 MiB.
2026-09-23T03:05:40Z INFO [119/351] 0fc00291-8236-4879-9b3f-cd0544454676: qualifies; 2.5 s; peak memory 639 MiB.
2026-09-23T03:05:41Z INFO [120/351] 0fc10812-556e-4bab-a1b3-d94a4ab6326f: does not qualify; 1.2 s; peak memory 639 MiB.
2026-09-23T03:05:44Z INFO [121/351] 0fc1e298-abcb-4177-b27e-6bde900ba47b: does not qualify; 2.1 s; peak memory 639 MiB.
2026-09-23T03:05:45Z INFO [122/351] 0fc45ad4-3b96-4fc9-b133-1ab7dd88ee46: does not qualify; 1.9 s; peak memory 639 MiB.
2026-09-23T03:05:47Z INFO [123/351] 0fc49ce1-2caa-4d99-9404-9a9f6c58690b: does not qualify; 1.6 s; peak memory 639 MiB.
2026-09-23T03:05:58Z INFO [124/351] 0fc5699d-9bbb-4bf9-9e09-4a83677edb83: does not qualify; 10.7 s; peak memory 639 MiB.
