2026-09-18T15:41:49Z INFO Logging to /tmp/logs/update_2026-09-18T15-41-49Z.log.
2026-09-18T15:41:49Z INFO Update qualifying-lfp-content-ids (base directory /tmp).
2026-09-18T15:41:50Z INFO Processing 748 items (49147 already recorded).
2026-09-18T15:45:36Z INFO [51/748] 04d8f136-6cac-420b-b929-52bf8d350972: does not qualify; 1.9 s; peak memory 305 MiB.
2026-09-18T15:45:42Z INFO [52/748] 04da2b67-547e-4b74-971f-a1ce4a0f4f52: does not qualify; 5.6 s; peak memory 305 MiB.
2026-09-18T15:45:43Z INFO [53/748] 04daa83f-5811-4ecf-a29d-ff9dd8157394: does not qualify; 1.2 s; peak memory 305 MiB.
2026-09-18T15:45:46Z INFO [54/748] 04daef77-1e02-453a-826d-73cf10415ecc: does not qualify; 2.4 s; peak memory 305 MiB.
2026-09-18T15:45:50Z INFO [55/748] 04db3464-54d3-40bc-8e8e-6add83e7af02: does not qualify; 4.1 s; peak memory 305 MiB.
2026-09-18T15:45:53Z INFO [56/748] 04dbafa1-9d99-477a-81c7-9d50cbbcacb9: does not qualify; 3.2 s; peak memory 305 MiB.
2026-09-18T15:45:55Z INFO [57/748] 04dc43e5-fb1b-4888-bcd2-b5f1d6a65af2: does not qualify; 2.6 s; peak memory 305 MiB.
2026-09-18T15:45:57Z INFO [58/748] 04dc888b-f7ca-4a43-88f0-00fa3478c249: does not qualify; 1.7 s; peak memory 305 MiB.
2026-09-18T15:46:00Z INFO [59/748] 04dd1a97-e6a2-4aa0-a746-15fe52c95607: does not qualify; 2.7 s; peak memory 305 MiB.
2026-09-18T15:46:06Z INFO [60/748] 04ddfe52-99f4-45e0-9feb-3abac4db59dc: does not qualify; 6.4 s; peak memory 306 MiB.
2026-09-18T15:46:09Z INFO [61/748] 04e0ec7f-51f4-44ce-baff-893a69a0ce47: does not qualify; 2.4 s; peak memory 306 MiB.
2026-09-18T15:46:11Z INFO [62/748] 04e19bcb-be0a-4790-8e0f-400c521fe08e: does not qualify; 2.2 s; peak memory 306 MiB.
2026-09-18T15:46:12Z INFO [63/748] 04e24594-3c4c-449f-90ba-e9d32e652c3d: does not qualify; 0.9 s; peak memory 306 MiB.
2026-09-18T15:46:18Z INFO [64/748] 04e2ccde-7401-4e56-acb6-e3be4abf9a9b: does not qualify; 6.2 s; peak memory 306 MiB.
2026-09-18T15:46:21Z INFO [65/748] 04e51693-c77c-4308-a859-2078518513cb: does not qualify; 2.9 s; peak memory 306 MiB.
2026-09-18T15:46:22Z INFO [66/748] 04e537fd-635a-4d1c-85c2-6ce86ebe8e6b: does not qualify; 1.0 s; peak memory 306 MiB.
2026-09-18T15:46:23Z INFO [67/748] 04e58eae-80cc-4866-9894-d577f33053a5: does not qualify; 1.6 s; peak memory 306 MiB.
2026-09-18T15:46:25Z INFO [68/748] 04e5a990-9c34-4151-b430-2d9529cdc31c: does not qualify; 1.1 s; peak memory 306 MiB.
2026-09-18T15:46:27Z INFO [69/748] 04e6692a-f8ae-4205-9b25-88979f89798e: does not qualify; 2.1 s; peak memory 306 MiB.
2026-09-18T15:46:30Z INFO [70/748] 04e6d7ac-ca1b-464f-8957-c56fc83e2251: does not qualify; 3.5 s; peak memory 306 MiB.
2026-09-18T15:46:32Z INFO [71/748] 04e6e187-cd74-46b9-bac6-5e26a08e226e: does not qualify; 2.3 s; peak memory 306 MiB.
2026-09-18T15:46:33Z INFO [72/748] 04e74583-9aa0-4fff-9189-0859a6150d77: does not qualify; 1.1 s; peak memory 306 MiB.
2026-09-18T15:46:35Z INFO [73/748] 04e7db75-acab-4c26-a3dd-a71c77444991: does not qualify; 1.8 s; peak memory 306 MiB.
2026-09-18T15:46:37Z INFO [74/748] 04e7f16a-6af4-40a0-8ed8-b46396f16fee: does not qualify; 2.1 s; peak memory 306 MiB.
2026-09-18T15:46:38Z INFO [75/748] 04e80725-9f9a-4cf9-9a39-98449bf71d5f: does not qualify; 1.1 s; peak memory 306 MiB.
2026-09-18T15:46:39Z INFO [76/748] 04e836d2-cd54-4065-9e05-5cf7b738d6ef: does not qualify; 1.0 s; peak memory 306 MiB.
2026-09-18T15:46:41Z INFO [77/748] 04ea2377-ec13-4b2f-ad22-5ab4443f0c37: does not qualify; 1.2 s; peak memory 306 MiB.
2026-09-18T15:46:43Z INFO [78/748] 04ea2caa-60ab-405c-a66e-34113f1e3d7c: qualifies; 2.5 s; peak memory 307 MiB.
2026-09-18T15:46:44Z INFO [79/748] 04eaf3d4-d242-45b6-94fe-a0832889eb03: does not qualify; 1.2 s; peak memory 307 MiB.
2026-09-18T15:46:48Z INFO [80/748] 04eb25f0-0e94-43b9-8a8e-c613b37f5ef7: does not qualify; 3.4 s; peak memory 307 MiB.
2026-09-18T15:46:49Z INFO [81/748] 04ebca63-0d09-481c-8472-e583372cede8: does not qualify; 1.6 s; peak memory 307 MiB.
2026-09-18T15:46:55Z INFO [82/748] 04ec7731-2d22-46c7-8b54-ade4cf81fa5b: does not qualify; 5.5 s; peak memory 307 MiB.
2026-09-18T15:47:00Z INFO [83/748] 04ecc08f-4e3e-4b51-8d22-076b0977a190: qualifies; 5.0 s; peak memory 307 MiB.
2026-09-18T15:47:01Z INFO [84/748] 04ed14e5-e1b3-4d2a-a588-97c22c07f48b: does not qualify; 1.5 s; peak memory 307 MiB.
2026-09-18T15:47:03Z INFO [85/748] 04ed34f6-8bd8-4518-93ac-a2760da8a530: does not qualify; 1.7 s; peak memory 307 MiB.
2026-09-18T15:47:05Z INFO [86/748] 04ed57cb-260f-450c-8d7c-98ad421799ec: does not qualify; 2.5 s; peak memory 307 MiB.
2026-09-18T15:47:07Z INFO [87/748] 04f100c5-7e1f-49de-b8c2-34821e174a74: does not qualify; 1.9 s; peak memory 307 MiB.
2026-09-18T15:47:08Z INFO [88/748] 04f1dd03-5427-4964-be2e-a537f4ce2e50: does not qualify; 1.0 s; peak memory 307 MiB.
2026-09-18T15:47:10Z INFO [89/748] 04f20083-d3b1-43ee-8624-4f3e91460ef3: does not qualify; 1.2 s; peak memory 307 MiB.
2026-09-18T15:47:21Z INFO [90/748] 04f2d532-29f8-40db-8cd9-d97be248cbbe: does not qualify; 11.3 s; peak memory 307 MiB.
2026-09-18T15:47:26Z INFO [91/748] 04f3b474-cbe3-466b-a02b-9c690c79a378: does not qualify; 5.3 s; peak memory 307 MiB.
2026-09-18T15:47:33Z INFO [92/748] 04f3f0a9-5799-4439-94e1-9f9e309da750: does not qualify; 6.6 s; peak memory 629 MiB.
2026-09-18T15:47:35Z INFO [93/748] 04f58417-ecca-411f-be13-d9bb4b372b08: does not qualify; 2.1 s; peak memory 629 MiB.
2026-09-18T15:48:13Z INFO [94/748] 04f69532-62d9-4aba-b999-8c137390cebf: does not qualify; 37.7 s; peak memory 629 MiB.
2026-09-18T15:48:18Z INFO [95/748] 04f71112-ab4b-47ea-967b-a5cc48c4592b: does not qualify; 5.8 s; peak memory 629 MiB.
2026-09-18T15:48:19Z INFO [96/748] 04f86dbe-6d4b-4d58-ac58-67ef2e4ddf5e: does not qualify; 1.0 s; peak memory 629 MiB.
2026-09-18T15:48:21Z INFO [97/748] 04f8dbcd-b240-44bf-ab0e-b25f67894097: does not qualify; 1.5 s; peak memory 629 MiB.
2026-09-18T15:48:24Z INFO [98/748] 04f94ce4-97e9-4fb7-a052-92a966da56df: qualifies; 2.6 s; peak memory 629 MiB.
2026-09-18T15:48:25Z INFO [99/748] 04fae1e9-fa34-4349-a804-6d95cde357f8: does not qualify; 1.0 s; peak memory 629 MiB.
2026-09-18T15:48:26Z INFO [100/748] 04fcac86-918f-46bb-9785-c084492c8b9a: does not qualify; 1.4 s; peak memory 629 MiB.
2026-09-18T15:48:26Z INFO [100/748] 04fcac86-918f-46bb-9785-c084492c8b9a: checkpointed 49247 records.
2026-09-18T15:48:29Z INFO [101/748] 04fcdaae-3990-4615-964c-8ad64ea53bd7: does not qualify; 3.3 s; peak memory 629 MiB.
2026-09-18T15:48:35Z INFO [102/748] 04fd136b-7222-43e3-9408-d79538e49dee: does not qualify; 5.7 s; peak memory 629 MiB.
2026-09-18T15:48:36Z INFO [103/748] 04fd40ac-9429-4f02-b5ba-8377635db041: does not qualify; 1.0 s; peak memory 629 MiB.
2026-09-18T15:48:37Z INFO [104/748] 04fdcc00-e766-4545-b320-721dab9c989e: does not qualify; 1.2 s; peak memory 629 MiB.
2026-09-18T15:48:44Z INFO [105/748] 04ff3d1c-0fbb-4356-a9d0-9252fa79d01d: does not qualify; 6.4 s; peak memory 629 MiB.
2026-09-18T15:48:45Z INFO [106/748] 04ffae92-785b-4aa6-a26c-c0287e4caf0a: does not qualify; 1.3 s; peak memory 629 MiB.
2026-09-18T15:48:56Z INFO [107/748] 04fffa38-3b37-4d6c-8de3-368840f7225e: does not qualify; 11.1 s; peak memory 629 MiB.
2026-09-18T15:48:57Z INFO [108/748] 05001f92-0085-4e4d-b830-f234acd3e73d: does not qualify; 1.2 s; peak memory 629 MiB.
2026-09-18T15:49:00Z INFO [109/748] 05017956-2108-4fc4-a405-c20d9d883c45: does not qualify; 2.5 s; peak memory 629 MiB.
2026-09-18T15:49:10Z INFO [110/748] 0501e906-c202-47b3-ba7c-1df97a77b2f7: does not qualify; 10.1 s; peak memory 629 MiB.
2026-09-18T15:49:19Z INFO [111/748] 050267a9-8330-4f28-8a17-8db7aba456f0: does not qualify; 9.3 s; peak memory 629 MiB.
2026-09-18T15:49:22Z INFO [112/748] 05028253-7a54-4b0b-ab59-2c8fe0fa6ea6: does not qualify; 2.3 s; peak memory 629 MiB.
2026-09-18T15:49:23Z INFO [113/748] 0504e10e-b038-4802-81d2-6a3d67718b59: does not qualify; 1.5 s; peak memory 629 MiB.
2026-09-18T15:49:24Z INFO [114/748] 0504ef12-4cb6-4ca1-8937-6469866a042b: does not qualify; 1.2 s; peak memory 629 MiB.
2026-09-18T15:49:25Z INFO [115/748] 050550e1-a831-45dd-a977-33bf756d994c: does not qualify; 1.0 s; peak memory 629 MiB.
2026-09-18T15:49:27Z INFO [116/748] 0505bd3b-63c8-4008-a5d3-288a3e74ba7e: does not qualify; 1.3 s; peak memory 629 MiB.
2026-09-18T15:49:28Z INFO [117/748] 0507d609-cc26-46ea-a674-ce2ad35cafae: does not qualify; 1.1 s; peak memory 629 MiB.
2026-09-18T15:49:30Z INFO [118/748] 0507d7b0-0ec2-4525-9470-6aaa87d8fdcf: does not qualify; 2.6 s; peak memory 629 MiB.
2026-09-18T15:49:31Z INFO [119/748] 0507e94a-1459-44cf-b181-5e1afe3d5f66: does not qualify; 1.2 s; peak memory 629 MiB.
2026-09-18T15:49:33Z INFO [120/748] 05081903-4c28-4e19-b2b6-46adebe3e3c0: does not qualify; 1.1 s; peak memory 629 MiB.
2026-09-18T15:49:34Z INFO [121/748] 05089a79-0ec8-43ef-919d-538b8cd985a7: does not qualify; 1.4 s; peak memory 629 MiB.
2026-09-18T15:49:36Z INFO [122/748] 050b4e2d-c483-42e1-a84d-14373380562b: does not qualify; 2.1 s; peak memory 629 MiB.
2026-09-18T15:49:37Z INFO [123/748] 050d2356-e146-46ef-8023-d24420dcdf12: does not qualify; 1.4 s; peak memory 629 MiB.
2026-09-18T15:49:40Z INFO [124/748] 050d4416-08a1-493e-b091-0220b46540f3: does not qualify; 3.0 s; peak memory 629 MiB.
2026-09-18T15:49:42Z INFO [125/748] 050e0508-e634-4dc7-9102-6121039a88e8: does not qualify; 1.8 s; peak memory 629 MiB.
2026-09-18T15:49:45Z INFO [126/748] 050ffb22-b1fe-4110-9e76-62595555d2c9: does not qualify; 2.5 s; peak memory 629 MiB.
2026-09-18T15:49:46Z INFO [127/748] 0510ea5f-8bb1-4ddb-baf5-53a9fd0b0334: does not qualify; 1.1 s; peak memory 629 MiB.
2026-09-18T15:49:47Z INFO [128/748] 051256ac-2622-449f-9625-7ea4d684349a: does not qualify; 1.0 s; peak memory 629 MiB.
2026-09-18T15:49:48Z INFO [129/748] 051288c6-590a-490b-9061-2764eb5a4189: does not qualify; 1.3 s; peak memory 629 MiB.
2026-09-18T15:49:49Z INFO [130/748] 0512e21a-5458-4206-92d4-2ce31622622a: does not qualify; 1.2 s; peak memory 629 MiB.
2026-09-18T15:49:50Z INFO [131/748] 0513128f-8da9-4fda-9bf1-09e551d2f532: does not qualify; 1.1 s; peak memory 629 MiB.
2026-09-18T15:49:51Z INFO [132/748] 05136dcf-557a-409d-96db-5a4e20291b1f: does not qualify; 0.8 s; peak memory 629 MiB.
2026-09-18T15:50:02Z INFO [133/748] 0513c38a-3eee-4553-9e27-a50af4138ff9: does not qualify; 10.3 s; peak memory 629 MiB.
