2026-09-19T02:48:28Z INFO Logging to /tmp/logs/update_2026-09-19T02-48-28Z.log.
2026-09-19T02:48:28Z INFO Update qualifying-lfp-content-ids (base directory /tmp).
2026-09-19T02:48:30Z INFO Processing 368 items (49896 already recorded).
2026-09-19T02:54:46Z INFO [138/368] 0695bf89-7f3e-4641-aec3-4890e462aaf1: does not qualify; 3.8 s; peak memory 605 MiB.
2026-09-19T02:54:54Z INFO [139/368] 0696455a-cfe2-4312-a3d6-b028ff5ea3eb: does not qualify; 8.3 s; peak memory 605 MiB.
2026-09-19T02:55:03Z INFO [140/368] 069661eb-7824-4010-bbe1-cb3bf218ac4a: does not qualify; 9.1 s; peak memory 605 MiB.
2026-09-19T02:55:05Z INFO [141/368] 0696c590-0c01-44f7-9c9c-801eace5d87d: does not qualify; 1.5 s; peak memory 605 MiB.
2026-09-19T02:55:06Z INFO [142/368] 06974da7-9166-4f1f-bfd0-50f5705ab1fd: does not qualify; 1.6 s; peak memory 605 MiB.
2026-09-19T02:55:08Z INFO [143/368] 06985895-4eb7-4004-8fcd-cafb41ce8761: does not qualify; 1.6 s; peak memory 605 MiB.
2026-09-19T02:55:10Z INFO [144/368] 069874f6-a203-45c4-a904-d8ac33082164: does not qualify; 2.5 s; peak memory 605 MiB.
2026-09-19T02:55:13Z INFO [145/368] 06995c9a-893b-4235-b386-65bf579eafab: does not qualify; 3.2 s; peak memory 605 MiB.
2026-09-19T02:55:15Z INFO [146/368] 069a0908-11ea-43fd-89c0-7161bb7a52a4: does not qualify; 1.8 s; peak memory 605 MiB.
2026-09-19T02:55:26Z INFO [147/368] 069a3250-8ccd-4b02-85a3-da1e8284e601: does not qualify; 11.1 s; peak memory 605 MiB.
2026-09-19T02:55:39Z INFO [148/368] 069a543e-c7e9-4015-987c-09fa1bbe122b: does not qualify; 12.3 s; peak memory 605 MiB.
2026-09-19T02:55:40Z INFO [149/368] 069abc52-978a-4528-829b-957d9e6db292: does not qualify; 1.3 s; peak memory 605 MiB.
2026-09-19T02:55:42Z INFO [150/368] 069b45d7-1d95-4679-b810-ad5ecef24d79: does not qualify; 2.0 s; peak memory 605 MiB.
2026-09-19T02:55:42Z INFO [150/368] 069b45d7-1d95-4679-b810-ad5ecef24d79: checkpointed 50046 records.
2026-09-19T02:55:43Z INFO [151/368] 069b8683-a0a8-41c1-a7ed-7f55d16264a4: does not qualify; 1.2 s; peak memory 605 MiB.
2026-09-19T02:55:52Z INFO [152/368] 069bab1e-cbca-440c-87ee-d561e180749f: does not qualify; 8.9 s; peak memory 605 MiB.
2026-09-19T02:55:54Z INFO [153/368] 069be5ca-4bce-4177-830b-a7e9b9395e78: does not qualify; 1.3 s; peak memory 605 MiB.
2026-09-19T02:55:55Z INFO [154/368] 069c27ca-2242-42f4-9c61-d5b107ee62ce: does not qualify; 1.3 s; peak memory 605 MiB.
2026-09-19T02:55:57Z INFO [155/368] 069c474d-9118-429a-a69c-034d8070ad1f: does not qualify; 2.3 s; peak memory 605 MiB.
2026-09-19T02:55:59Z INFO [156/368] 069cb574-8dd0-4c46-9c45-e73a673dc394: does not qualify; 1.8 s; peak memory 605 MiB.
2026-09-19T02:56:01Z INFO [157/368] 069d7758-9d88-4420-b691-a4bec2692b76: does not qualify; 2.1 s; peak memory 605 MiB.
2026-09-19T02:56:03Z INFO [158/368] 069da60f-2eeb-4c8d-8d11-6140332dd31f: does not qualify; 1.8 s; peak memory 605 MiB.
2026-09-19T02:56:05Z INFO [159/368] 069df294-cf2f-4195-b6dd-cd7471f17930: does not qualify; 1.7 s; peak memory 605 MiB.
