2026-09-17T20:53:16Z INFO Logging to /tmp/logs/update_2026-09-17T20-53-16Z.log.
2026-09-17T20:53:16Z INFO Update qualifying-lfp-content-ids (base directory /tmp).
2026-09-17T20:53:18Z INFO Processing 372 items (48410 already recorded).
2026-09-17T20:57:32Z INFO [150/372] 036cb812-7e39-44ed-a7aa-46f6d17f3a92: does not qualify; 2.5 s; peak memory 288 MiB.
2026-09-17T20:57:32Z INFO [150/372] 036cb812-7e39-44ed-a7aa-46f6d17f3a92: checkpointed 48560 records.
2026-09-17T20:57:33Z INFO [151/372] 036d9166-d206-48d0-84e2-8d0e0e7bde9d: does not qualify; 0.8 s; peak memory 288 MiB.
2026-09-17T20:57:34Z INFO [152/372] 036ea15c-6a03-4daa-934e-4daf8ac79520: does not qualify; 0.8 s; peak memory 288 MiB.
2026-09-17T20:57:35Z INFO [153/372] 036eff90-215e-4412-8c74-6089062aa4f8: does not qualify; 0.9 s; peak memory 288 MiB.
2026-09-17T20:57:35Z INFO [154/372] 037021f4-bd1b-4183-a264-cd79e76aa68e: does not qualify; 0.8 s; peak memory 288 MiB.
2026-09-17T20:57:36Z INFO [155/372] 03707dbc-8304-479c-88a1-a5b36a8cedde: does not qualify; 1.0 s; peak memory 288 MiB.
2026-09-17T20:57:38Z INFO [156/372] 03709c6c-40e9-49bd-a214-1eb46261bec9: does not qualify; 1.1 s; peak memory 288 MiB.
2026-09-17T20:57:38Z INFO [157/372] 0370fc2d-5cb0-4049-bc05-f0f9fcd935e0: does not qualify; 0.6 s; peak memory 288 MiB.
2026-09-17T20:57:39Z INFO [158/372] 03713bf2-9ef7-4fe2-92e4-f2887fa4bfe5: does not qualify; 1.2 s; peak memory 288 MiB.
2026-09-17T20:57:40Z INFO [159/372] 0371cdd7-3bf7-45a4-900a-2c90a2541dbd: does not qualify; 1.0 s; peak memory 288 MiB.
2026-09-17T20:57:41Z INFO [160/372] 0372dbd7-aab3-4eef-9313-41693dae00cb: does not qualify; 0.9 s; peak memory 288 MiB.
2026-09-17T20:57:46Z INFO [161/372] 0373060e-42f4-48b6-ad0c-5ce065996e9d: does not qualify; 5.2 s; peak memory 632 MiB.
2026-09-17T20:57:48Z INFO [162/372] 03738ca4-472d-4510-8fc5-d05f1f6c1891: does not qualify; 1.1 s; peak memory 632 MiB.
2026-09-17T20:57:48Z INFO [163/372] 0373e678-f683-488e-af98-8e4856874447: does not qualify; 0.9 s; peak memory 632 MiB.
2026-09-17T20:57:49Z INFO [164/372] 03742bde-edac-4f4e-98b2-8a356d10fd35: does not qualify; 1.0 s; peak memory 632 MiB.
2026-09-17T20:57:53Z INFO [165/372] 0375a406-f151-4e99-8ff4-3cb5ff79e2be: does not qualify; 3.8 s; peak memory 632 MiB.
2026-09-17T20:57:54Z INFO [166/372] 037606f9-1415-4829-b7b9-84bf50525328: does not qualify; 1.2 s; peak memory 632 MiB.
2026-09-17T20:57:56Z INFO [167/372] 03761aa2-e0ab-4711-bcf1-0df897c3b356: does not qualify; 1.2 s; peak memory 632 MiB.
2026-09-17T20:57:57Z INFO [168/372] 03763b46-a5d2-4443-b896-f8576bd92ee2: does not qualify; 1.0 s; peak memory 632 MiB.
2026-09-17T20:57:57Z INFO [169/372] 0376e06d-727c-4fef-8e83-262f298427ed: does not qualify; 0.7 s; peak memory 632 MiB.
2026-09-17T20:58:01Z INFO [170/372] 03774c71-940e-4149-8d0b-ba76e76e0236: qualifies; 4.0 s; peak memory 632 MiB.
2026-09-17T20:58:05Z INFO [171/372] 03778925-295d-43ad-88cc-0a7f42ab901e: does not qualify; 3.2 s; peak memory 632 MiB.
2026-09-17T20:58:05Z INFO [172/372] 0378476f-30d8-4389-9f55-b06da2f87969: does not qualify; 0.6 s; peak memory 632 MiB.
2026-09-17T20:58:10Z INFO [173/372] 0378a803-fd3f-4fa4-9923-caf25115bd4b: does not qualify; 4.6 s; peak memory 632 MiB.
2026-09-17T20:58:11Z INFO [174/372] 0378ef84-ebd7-4071-9b98-2bca75bbbbfd: does not qualify; 0.8 s; peak memory 632 MiB.
2026-09-17T20:58:11Z INFO [175/372] 0379d168-f025-4d92-b771-370c4649d0c4: does not qualify; 0.6 s; peak memory 632 MiB.
2026-09-17T20:58:13Z INFO [176/372] 0379d6a0-79d9-4ad9-a764-b1b39654b486: does not qualify; 1.3 s; peak memory 632 MiB.
2026-09-17T20:58:14Z INFO [177/372] 037a2481-0021-4d3e-94a9-1d8e2433bc31: does not qualify; 1.6 s; peak memory 632 MiB.
2026-09-17T20:58:15Z INFO [178/372] 037cc826-b4af-4b24-96ae-c69590ebb7ad: does not qualify; 0.8 s; peak memory 632 MiB.
