2026-09-25T16:22:12Z INFO Logging to /tmp/logs/update_2026-09-25T16-22-12Z.log.
2026-09-25T16:22:12Z INFO Update qualifying-lfp-content-ids (base directory /tmp).
2026-09-25T16:22:13Z INFO Processing 381 items (56905 already recorded).
2026-09-25T16:26:14Z INFO [81/381] 14f606b5-5332-4dca-b33e-23214a232dfb: does not qualify; 0.5 s; peak memory 513 MiB.
2026-09-25T16:26:19Z INFO [82/381] 14f617d9-c65b-4dea-b988-cd0979f9ea80: does not qualify; 4.5 s; peak memory 513 MiB.
2026-09-25T16:26:20Z INFO [83/381] 14f6e60f-79c4-48ff-9da2-2546b5eceaf5: does not qualify; 0.7 s; peak memory 513 MiB.
2026-09-25T16:26:20Z INFO [84/381] 14f6e7ac-4eed-4e05-b74d-216ab7aad44d: does not qualify; 0.8 s; peak memory 513 MiB.
2026-09-25T16:26:22Z INFO [85/381] 14f70b9b-0c0a-4a1b-95ab-09061a054074: does not qualify; 1.4 s; peak memory 513 MiB.
2026-09-25T16:26:27Z INFO [86/381] 14f8374d-8842-406f-9fb6-7afeaa999c82: does not qualify; 5.6 s; peak memory 513 MiB.
2026-09-25T16:26:29Z INFO [87/381] 14f956e3-fbf5-45b9-afbf-1b4e2c8ae02b: does not qualify; 1.3 s; peak memory 513 MiB.
2026-09-25T16:27:31Z INFO [88/381] 14f969ce-d04d-4a08-a5cd-f6aa5fbd2f8f: does not qualify; 62.1 s; peak memory 513 MiB.
2026-09-25T16:27:32Z INFO [89/381] 14f96f73-1b44-4b37-b846-7c4b811d70c3: does not qualify; 0.8 s; peak memory 513 MiB.
2026-09-25T16:27:32Z INFO [90/381] 14f998fa-20d0-44c7-b7c7-c232fdbf55d8: does not qualify; 0.8 s; peak memory 513 MiB.
2026-09-25T16:27:33Z INFO [91/381] 14fa0273-1afd-42fc-a64c-421b13e97179: does not qualify; 0.6 s; peak memory 513 MiB.
2026-09-25T16:27:36Z INFO [92/381] 14fa3638-809d-4ffa-b307-3a1d734d51bc: does not qualify; 3.2 s; peak memory 513 MiB.
2026-09-25T16:27:37Z INFO [93/381] 14fa5cee-0894-4100-a907-dd87053b6c2f: does not qualify; 0.7 s; peak memory 513 MiB.
2026-09-25T16:27:40Z INFO [94/381] 14fa6ab7-61de-47cd-9723-b97ba753ee08: does not qualify; 3.2 s; peak memory 513 MiB.
2026-09-25T16:27:41Z INFO [95/381] 14fb16d5-533f-4e85-a8f7-02139eee440c: does not qualify; 1.0 s; peak memory 513 MiB.
2026-09-25T16:27:48Z INFO [96/381] 14fb2415-c1c3-4fcd-b34f-5c9979075ca6: does not qualify; 6.5 s; peak memory 513 MiB.
2026-09-25T16:27:52Z INFO [97/381] 14fbc745-1545-4011-8eee-84f91e5c8108: does not qualify; 3.9 s; peak memory 513 MiB.
2026-09-25T16:27:52Z INFO [98/381] 14fc3306-e14e-4d88-a12c-5bb3093c6239: does not qualify; 0.6 s; peak memory 513 MiB.
2026-09-25T16:27:53Z INFO [99/381] 14fc6a8f-9cd4-4160-9e67-d4020cff007e: does not qualify; 0.8 s; peak memory 513 MiB.
2026-09-25T16:27:54Z INFO [100/381] 14fcae08-527f-46e8-b2f6-f388deb1a2a8: does not qualify; 0.6 s; peak memory 513 MiB.
2026-09-25T16:27:54Z INFO [100/381] 14fcae08-527f-46e8-b2f6-f388deb1a2a8: checkpointed 57005 records.
2026-09-25T16:27:58Z INFO [101/381] 14fd99b4-801e-422f-a6b1-fc95057c80c4: does not qualify; 4.5 s; peak memory 513 MiB.
2026-09-25T16:27:59Z INFO [102/381] 14fdcfde-a955-480c-b977-feb2e7b3c03a: does not qualify; 0.8 s; peak memory 513 MiB.
2026-09-25T16:28:00Z INFO [103/381] 14fe20a2-98d7-49dd-8d20-17b807c0f2f7: does not qualify; 0.7 s; peak memory 513 MiB.
2026-09-25T16:28:05Z INFO [104/381] 14fe53fc-a58b-4ab0-96d9-2634591d1b36: does not qualify; 5.6 s; peak memory 513 MiB.
2026-09-25T16:28:06Z INFO [105/381] 14ff362b-ff40-4c21-990c-39a65595f760: does not qualify; 0.6 s; peak memory 513 MiB.
2026-09-25T16:28:07Z INFO [106/381] 1500e74d-24d3-4fec-9b00-b5785db97cef: qualifies; 1.1 s; peak memory 513 MiB.
2026-09-25T16:28:08Z INFO [107/381] 15011706-e6e5-4328-a81a-cb5b7a7f9ccb: does not qualify; 1.0 s; peak memory 513 MiB.
2026-09-25T16:28:08Z INFO [108/381] 15019388-0456-4246-801f-c443758b9211: does not qualify; 0.6 s; peak memory 513 MiB.
2026-09-25T16:28:09Z INFO [109/381] 15019a71-c943-4bbf-bc07-d5626f8131dc: does not qualify; 0.5 s; peak memory 513 MiB.
