2026-09-17T16:05:38Z INFO Logging to /tmp/logs/update_2026-09-17T16-05-38Z.log.
2026-09-17T16:05:38Z INFO Update qualifying-lfp-content-ids (base directory /tmp).
2026-09-17T16:05:39Z INFO Processing 385 items (48025 already recorded).
2026-09-17T16:07:44Z INFO [100/385] 02829433-4773-404a-9d2e-32d2e45cd77a: checkpointed 48125 records.
2026-09-17T16:07:45Z INFO [101/385] 0282fe98-1eac-49c8-9808-33f9c1aaa00a: does not qualify; 0.5 s; peak memory 431 MiB.
2026-09-17T16:07:46Z INFO [102/385] 02831699-8efa-41a9-aca7-4a7bfcf664cf: does not qualify; 1.3 s; peak memory 431 MiB.
2026-09-17T16:16:11Z INFO [103/385] 0284795a-a1ff-4230-b9ef-4158c57218a8: does not qualify; 505.0 s; peak memory 1367 MiB.
2026-09-17T16:16:12Z INFO [104/385] 0284c48e-b45e-403f-ab03-707ed04d6195: does not qualify; 0.9 s; peak memory 1367 MiB.
2026-09-17T16:16:13Z INFO [105/385] 0285844c-4b1b-450f-af5a-d6417ba1cc79: does not qualify; 0.3 s; peak memory 1367 MiB.
2026-09-17T16:16:13Z INFO [106/385] 02874466-b78c-41ae-8487-06726996a7d4: does not qualify; 0.6 s; peak memory 1367 MiB.
2026-09-17T16:16:14Z INFO [107/385] 02878f31-f679-4940-b6e1-5645c2bc461b: does not qualify; 1.0 s; peak memory 1367 MiB.
2026-09-17T16:16:15Z INFO [108/385] 028801d5-ab2d-4a7e-9561-673e12734d37: does not qualify; 0.7 s; peak memory 1367 MiB.
2026-09-17T16:16:15Z INFO [109/385] 0288de74-0668-4073-9ec2-b1be49cd1fe2: does not qualify; 0.6 s; peak memory 1367 MiB.
2026-09-17T16:16:16Z INFO [110/385] 028953a2-2dd4-4a63-ae1f-0b6ef1cfc94e: does not qualify; 0.7 s; peak memory 1367 MiB.
2026-09-17T16:16:17Z INFO [111/385] 028979ab-3a71-405c-9eb1-85486f0b8192: does not qualify; 0.5 s; peak memory 1367 MiB.
2026-09-17T16:16:17Z INFO [112/385] 028a4a06-4529-47fb-b5d8-9d0b041e4100: does not qualify; 0.8 s; peak memory 1367 MiB.
2026-09-17T16:16:18Z INFO [113/385] 028b6b5e-5f02-4f14-a1c1-6db68da7eef4: does not qualify; 0.7 s; peak memory 1367 MiB.
2026-09-17T16:16:19Z INFO [114/385] 028be36d-33e7-4cc7-aabe-b35d358f2eea: does not qualify; 0.6 s; peak memory 1367 MiB.
2026-09-17T16:16:20Z INFO [115/385] 028c061c-c72b-49f9-a0da-04dcaf9da140: does not qualify; 0.9 s; peak memory 1367 MiB.
2026-09-17T16:16:25Z INFO [116/385] 028d135a-7ce8-42eb-af71-7247c3203f28: does not qualify; 5.3 s; peak memory 1367 MiB.
2026-09-17T16:16:26Z INFO [117/385] 028dfba3-b9bc-4f66-8875-e101935eecf3: does not qualify; 0.8 s; peak memory 1367 MiB.
2026-09-17T16:16:27Z INFO [118/385] 028e5921-08e8-4dc6-8dd5-e536a8f320fb: does not qualify; 1.1 s; peak memory 1367 MiB.
2026-09-17T16:16:27Z INFO [119/385] 028ead3b-09ae-4b5f-9697-c51638a55c9c: does not qualify; 0.6 s; peak memory 1367 MiB.
2026-09-17T16:16:28Z INFO [120/385] 028ef11f-c970-4265-8ab7-83172c4be6aa: does not qualify; 0.5 s; peak memory 1367 MiB.
2026-09-17T16:16:28Z INFO [121/385] 028fc389-ac38-4662-b310-efd45233854f: does not qualify; 0.4 s; peak memory 1367 MiB.
2026-09-17T16:16:31Z INFO [122/385] 02905b08-b0de-402c-a7db-e62e49f05671: does not qualify; 3.1 s; peak memory 1367 MiB.
2026-09-17T16:16:32Z INFO [123/385] 0290f830-5dad-4a54-81f3-fd456cd54b17: does not qualify; 0.5 s; peak memory 1367 MiB.
2026-09-17T16:16:33Z INFO [124/385] 0290fa92-2465-4fed-8343-9bb5c1bc9974: does not qualify; 1.4 s; peak memory 1367 MiB.
2026-09-17T16:16:34Z INFO [125/385] 0291822b-1a0b-4ce3-bef3-c4eb937ab88e: does not qualify; 0.5 s; peak memory 1367 MiB.
2026-09-17T16:16:34Z INFO [126/385] 0291edda-91e2-4268-b7c4-453a5550909e: does not qualify; 0.6 s; peak memory 1367 MiB.
2026-09-17T16:16:35Z INFO [127/385] 029295d9-7ab6-49d9-af94-d28f2b3bbde5: does not qualify; 0.9 s; peak memory 1367 MiB.
2026-09-17T16:16:36Z INFO [128/385] 02935dd8-b9a1-4625-8c3a-f8f14ff0e25e: does not qualify; 0.4 s; peak memory 1367 MiB.
2026-09-17T16:16:39Z INFO [129/385] 02937297-72ad-4c19-8e02-f0bc9d9f5c0f: does not qualify; 3.3 s; peak memory 1367 MiB.
2026-09-17T16:16:40Z INFO [130/385] 02938ebc-1379-4389-af75-d487d29f0a27: does not qualify; 0.7 s; peak memory 1367 MiB.
2026-09-17T16:16:44Z INFO [131/385] 02946b87-acda-4ee1-8dc5-19939ec7b787: does not qualify; 4.0 s; peak memory 1367 MiB.
2026-09-17T16:16:45Z INFO [132/385] 02949b71-7360-4a8f-9b81-9f51282f8e5c: does not qualify; 1.0 s; peak memory 1367 MiB.
2026-09-17T16:16:45Z INFO [133/385] 0294e0a5-df23-4bd9-bb5f-f1660afbbc22: does not qualify; 0.7 s; peak memory 1367 MiB.
2026-09-17T16:16:46Z INFO [134/385] 02950439-2230-46aa-bae8-d7ee63bff896: does not qualify; 0.6 s; peak memory 1367 MiB.
2026-09-17T16:16:48Z INFO [135/385] 02954af6-e78d-4cde-8f65-e57e804b4eb1: does not qualify; 2.0 s; peak memory 1367 MiB.
2026-09-17T16:16:49Z INFO [136/385] 02954c97-270f-4783-8d50-1017070272e0: does not qualify; 0.7 s; peak memory 1367 MiB.
2026-09-17T16:16:49Z INFO [137/385] 02959882-f6a0-4953-8315-ae122f73ee3e: does not qualify; 0.6 s; peak memory 1367 MiB.
2026-09-17T16:16:50Z INFO [138/385] 0295bd30-d875-4221-8bf9-fd26a50e4730: does not qualify; 0.8 s; peak memory 1367 MiB.
2026-09-17T16:16:51Z INFO [139/385] 02966e4b-e374-497b-a978-f323a372b4da: does not qualify; 0.4 s; peak memory 1367 MiB.
2026-09-17T16:16:52Z INFO [140/385] 0297c5f6-6d74-4df9-9180-0a63573ad406: does not qualify; 1.6 s; peak memory 1367 MiB.
2026-09-17T16:16:53Z INFO [141/385] 02995666-ca83-462e-8955-8cade5c9dad0: does not qualify; 0.7 s; peak memory 1367 MiB.
2026-09-17T16:16:54Z INFO [142/385] 0299a00d-47db-4aa9-b708-b4428c271107: does not qualify; 1.0 s; peak memory 1367 MiB.
2026-09-17T16:16:54Z INFO [143/385] 0299aacd-4811-437f-9539-54feaa63e240: does not qualify; 0.7 s; peak memory 1367 MiB.
2026-09-17T16:17:00Z INFO [144/385] 0299de1d-65a8-49d3-b61e-68a329ec7256: does not qualify; 5.8 s; peak memory 1367 MiB.
2026-09-17T16:17:06Z INFO [145/385] 029aded6-3070-4d1f-a252-41fad264a6fe: does not qualify; 6.1 s; peak memory 1367 MiB.
2026-09-17T16:17:07Z INFO [146/385] 029bf697-4540-4395-b264-3edb210470a8: does not qualify; 0.6 s; peak memory 1367 MiB.
2026-09-17T16:17:08Z INFO [147/385] 029d5a86-0e9b-418c-813b-ffb02539af15: does not qualify; 0.9 s; peak memory 1367 MiB.
2026-09-17T16:18:27Z INFO [148/385] 029d6050-dc13-418b-97a3-bbfbd958e998: qualifies; 78.7 s; peak memory 6577 MiB.
2026-09-17T16:18:28Z INFO [149/385] 029d681f-5887-4e88-9d28-627bd08d5723: does not qualify; 1.1 s; peak memory 6577 MiB.
2026-09-17T16:18:28Z INFO [150/385] 029e9a5f-0496-4bb0-a829-867ab99f8839: does not qualify; 0.8 s; peak memory 6577 MiB.
2026-09-17T16:18:29Z INFO [150/385] 029e9a5f-0496-4bb0-a829-867ab99f8839: checkpointed 48175 records.
2026-09-17T16:18:35Z INFO [151/385] 029ea7e2-96c1-4daa-bed3-0251b54fc56e: does not qualify; 6.5 s; peak memory 6577 MiB.
2026-09-17T16:18:36Z INFO [152/385] 029ecb06-e88c-4b7b-99f8-f434c257921c: does not qualify; 0.9 s; peak memory 6577 MiB.
2026-09-17T16:18:42Z INFO [153/385] 02a17d04-270c-4fbf-9736-b02f5edc72bc: does not qualify; 6.2 s; peak memory 6577 MiB.
2026-09-17T16:18:43Z INFO [154/385] 02a1d9ba-34cf-4ec3-9da4-a6d09389448f: does not qualify; 0.5 s; peak memory 6577 MiB.
2026-09-17T16:18:44Z INFO [155/385] 02a24b84-5179-429c-8e97-d03da5ecbcb1: does not qualify; 1.6 s; peak memory 6577 MiB.
2026-09-17T16:18:45Z INFO [156/385] 02a2d86b-f848-4846-9e29-d92b8cbc38d2: does not qualify; 0.9 s; peak memory 6577 MiB.
2026-09-17T16:18:46Z INFO [157/385] 02a32839-becd-4722-9c93-59e02da90002: does not qualify; 0.9 s; peak memory 6577 MiB.
2026-09-17T16:18:47Z INFO [158/385] 02a37861-2b09-4c07-8421-2ffa0a97102e: does not qualify; 1.2 s; peak memory 6577 MiB.
2026-09-17T16:18:48Z INFO [159/385] 02a40a80-742a-424e-8e01-7cda99237e8e: does not qualify; 0.6 s; peak memory 6577 MiB.
2026-09-17T16:18:48Z INFO [160/385] 02a42b1f-1cf4-436f-9320-c7d937bad4fa: does not qualify; 0.6 s; peak memory 6577 MiB.
2026-09-17T16:18:49Z INFO [161/385] 02a5842f-430f-4b12-a276-798dd69ae01a: does not qualify; 0.5 s; peak memory 6577 MiB.
2026-09-17T16:18:50Z INFO [162/385] 02a6166e-28e2-4e65-b0cb-809e8a8f6cec: does not qualify; 0.7 s; peak memory 6577 MiB.
2026-09-17T16:18:50Z INFO [163/385] 02a767b0-1fb4-4989-ad41-174aafcd972e: does not qualify; 0.7 s; peak memory 6577 MiB.
2026-09-17T16:18:56Z INFO [164/385] 02a82567-39a8-4040-8860-17a550d6257d: does not qualify; 5.3 s; peak memory 6577 MiB.
2026-09-17T16:18:58Z INFO [165/385] 02a87624-9c8a-4fc5-b5a4-c595629b2717: does not qualify; 1.9 s; peak memory 6577 MiB.
2026-09-17T16:19:03Z INFO [166/385] 02a87829-cda9-4cae-a640-72d93d360e9c: does not qualify; 5.1 s; peak memory 6577 MiB.
2026-09-17T16:19:04Z INFO [167/385] 02a9596d-8286-4034-a5bb-80b902fed0ff: does not qualify; 0.8 s; peak memory 6577 MiB.
2026-09-17T16:19:13Z INFO [168/385] 02a95f1a-6af7-44fa-870b-540be1598e25: does not qualify; 9.4 s; peak memory 6577 MiB.
2026-09-17T16:19:14Z INFO [169/385] 02ab385f-0a13-4617-9241-cb80277b5f04: does not qualify; 0.7 s; peak memory 6577 MiB.
2026-09-17T16:19:15Z INFO [170/385] 02ab47cd-b9ff-46f8-9ae5-f7629e230317: qualifies; 1.5 s; peak memory 6577 MiB.
2026-09-17T16:19:17Z INFO [171/385] 02ab5f1d-b90f-4109-915f-94e39431d8fa: does not qualify; 1.5 s; peak memory 6577 MiB.
2026-09-17T16:19:17Z INFO [172/385] 02abdba1-11e3-4245-a4d7-8af2193b29a6: does not qualify; 0.6 s; peak memory 6577 MiB.
2026-09-17T16:19:18Z INFO [173/385] 02ace5ca-49ef-420e-b605-64cbc69ef4de: does not qualify; 0.6 s; peak memory 6577 MiB.
2026-09-17T16:19:19Z INFO [174/385] 02acf65f-66d3-455f-880f-df80ab42894f: does not qualify; 0.7 s; peak memory 6577 MiB.
2026-09-17T16:19:19Z INFO [175/385] 02ad6340-dfcd-48e5-b161-b51f099571a1: does not qualify; 0.5 s; peak memory 6577 MiB.
2026-09-17T16:19:20Z INFO [176/385] 02ae98b5-b482-4527-8733-3e786e0d2f31: does not qualify; 0.6 s; peak memory 6577 MiB.
2026-09-17T16:19:20Z INFO [177/385] 02ae9a44-bfe7-455d-8bb3-4d669cec400b: does not qualify; 0.8 s; peak memory 6577 MiB.
2026-09-17T16:19:21Z INFO [178/385] 02aea000-12b7-400d-be09-43d9e78dd4ba: does not qualify; 0.8 s; peak memory 6577 MiB.
2026-09-17T16:19:22Z INFO [179/385] 02aef313-a606-4caf-af6d-b789ad626e2a: does not qualify; 0.8 s; peak memory 6577 MiB.
2026-09-17T16:19:23Z INFO [180/385] 02aefefa-d833-4951-930b-7c8b5bb7eca1: does not qualify; 0.7 s; peak memory 6577 MiB.
